tweet;sentiment
kemendikbud sedia konten ajar daring kualitas baik;positive
daring semangat murid;positive
wifi gratis menjadi salah wujud respon kader bakti sekolah daring;positive
gampang ya sekolah online;positive
mantap banget cocok sekolah online;positive
online class lebih baik;positive
ajar sekolah online biar besok semangat;positive
semoga beruntung sekolah online;positive
sekolah online semangat suka daring;positive
untung sekolah daring;positive
suka sekolah online;positive
semangat sekolah daring;positive
rindu sekolah daring;positive
sekolah online pinter;positive
teman sekolah online semangat;positive
sekolah daring manis;positive
juang teman sekolah online;positive
bismillah sekolah online;positive
pinter sekolah online;positive
alhamdulillah tenang sekolah online;positive
ampun keren semangat sekolah online;positive
aku semangat sekolah online;positive
bahagia ikut andil bantu sepupu sepupu sekolah online diskusi manfaat;positive
bantu sekolah online ajar rajin;positive
bismillah saldo gopay beli kuota sekolah online;positive
juang sekali sekolah online;positive
kagum karena berani generasi bangsa pandemi;positive
kelas online program wifi gratis siswa senang;positive
ku suka sekolah online;positive
semangat banget sekolah online;positive
bismilah sehat sekolah online;positive
bismillah sekolah online;positive
rezeki lancar sekolah daring;positive
pagi semangat sekolah online;positive
lancar semangat sekolah online nya;positive
oalah sekolah online semangat;positive
sabar juang sekolah daring;positive
sekolah indonesia anak didik nya ajar media online;positive
sekolah online enak;positive
adik suka daring sekolah;positive
rajin school from home;positive
sekolah online pinter;positive
sekolah online syukur;positive
sekolah online semangat sekali;positive
selamat pagi semangat yang sekolah online semangat;positive
semangat pagi senang mood sekolah online semangat;positive
selamat pagi semangat sekolah online;positive
selamat sekolah online semangat ngerjain tugas;positive
sekolah zona hijau kuning online;positive
tidak keluh tentang sekolah online senang;positive
sekolah tambah bagus sejak murid ajar online;positive
seru sekolah online;positive
selamat pagi selamat sekolah kuliah online jangan lupa sarapan;positive
sekolah online masih semangat;positive
sekolah daring semangat;positive
online class enak;positive
online class lebih baik;positive
santai banget online class nya;positive
semangat class online nya;positive
terap sistem sekolah online siswa siswi nyaman;positive
dukung program kemdikbud yang sekolah daring;positive
enak sekolah online sih saja sekolah online enak banget;positive
lebih baik sekolah online deh;positive
ajar online tapi tetep kantor gini bikin guru rajin;positive
sekolah online semangat tugas tuntut ilmu;positive
sekolah online kerja semangat;positive
sekolah online adik semangat;positive
iya sekolah online rajin banget;positive
pagi semangat sekolah online;positive
pagi semangat kuliah sekolah online;positive
sekolah online dong enak;positive
sayang sekolah online;positive
sekolah online saya santai banget;positive
moga sukses sehat bahagia;positive
sekolah online enak banget;positive
sekolah daring adil;positive
udah enak sekolah online;positive
orangtua sekolah online tantang jujur;positive
asik belajar sekolah online;positive
pagi semangat sekolah daring;positive
anak sekolah ajar senang;positive
peduli sekolah daring;positive
fokus kelas online;positive
semangat sekolah online seru;positive
sekolah online asik;positive
school from home waktu tepat orang tua lebih kenal anak ajar nilai nilai kehidupan;positive
school from home kalau pelajarannya math science gampang;positive
school from home atau sekolah dari rumah selama pandemi adalah momen yang tepat bagi orang tua untuk mengenal anak;positive
rajin sekali anak muda school from home;positive
enak school from home tuh anak kerja tugas percaya diri;positive
masih syukur teman anak ajar online school from home;positive
school from home aku nyaman;positive
school from home waktu lebih lenggang lebih santai ajar;positive
school from home langsung bahagia;positive
udah enak sekolah online;positive
semangat belajar nugas saat school from home;positive
anak semangat kerjakan pr saat school from home;positive
senang sekali lihat teman rajin sekolah online;positive
senin sekolah online pertama matematika senang sekali;positive
sekolah online sampai naik kelas aku senang;positive
anak sekolah online hari pertama senang temu teman guru;positive
saya setuju sekolah daring;positive
enak tugas sekolah online karena ngetik senang;positive
ponakan aku SD senang belajar daring;positive
semester baru daring sekolah jelas jadwal udah adaptasi;positive
lebih enak sekolah online daripada offline;positive
Sekolah daring ada karena pandemi jalan senang sepenuh hati;positive
bersyukur banget sekolah daring adek nyaman penuh fasilitas;positive
daring ga masalah pelajaran masuk senang;positive
aku nyaman sama sekolah daring enak;positive
seneng rumah bisa bantu adik ajar tugas daring;positive
karena sekolah daring buku ebook seneng banget tambah semangat ajar;positive
kuliah daring seneng impian aku kecil sekolah dirumah;positive
aku seperti lebih enak sekolah online;positive
enak sekolah online pelajaran bisa masuk;positive
iya aku lebih enak sekolah online;positive
enak sekolah online daripada offline;positive
enak sekolah online bisa bangun kapan saja;positive
paling enak sekolah online;positive
paling enak online class cukup santai rumah;positive
ternyata enak online class;positive
sekolah online suka catat materi bisa baca ulang;positive
aku lebih suka sekolah online titik;positive
lebih suka sekolah online soalnya gaperlu mandi;positive
keliatan suka sekolah online nih;positive
saya suka sekolah daring;positive
bijak pikir resiko dari aspek ajar online bagus sehat;positive
kelas online sumpah kesal susah banyak tugas takut nilai kosong;negative
kadang kesal adik susah dijelasin sekolah online;negative
lebih baik sekolah offline online gini orang tua susah;negative
kakak yang sekolah online susah;negative
jujur capek banget rasa seperti capek sekolah mata pusing;negative
sekolah online tai;negative
online class ini bodoh lah;negative
sekolah pakai metode daring bobrok;negative
bodoh banget gara gara sekolah online;negative
susah banget sekolah online bego bego;negative
bolos sekolah online dunia sesak banget capek kejam pikir fase lelah mental;negative
saya capek sekolah online;negative
rasa sekolah online bodoh;negative
capek banget ga mengerti sekolah online bikin tertekan;negative
pinter tidak bodoh iya anak sekolah online libur tidak tugas tambah;negative
ribet banget sekolah online;negative
gara gara daring saya males capek;negative
sekolah online saya bobrok;negative
males sekolah online capek materi ga masuk;negative
ga fokus online class bangsat kesel;negative
online class saja asu malesin;negative
cerah jiwa males sekolah daring jancok;negative
saya sudh capek banget sekolah online miskin bodoh nambah;negative
males sekolah online;negative
sekolah online gak seru;negative
saya males sekolah offline bodoh;negative
males sekolah online bodoh saya;negative
saya muak sekolah online;negative
males banget pagi sekolah online;negative
saya sekolah online saya bodoh;negative
sekolah daring bodoh;negative
sekolah daring nambah bodoh;negative
sekolah online itu males gak disiplin banget;negative
sekolah online ngeluh sudah males;negative
saya bodoh sih sekolah online;negative
sumpah saya males ga suka online class;negative
sekolah daring bodoh bobrok;negative
sekolah online bodoh;negative
sekolah online anjing bodoh;negative
aku benci sekolah online;negative
sekolah online bodoh;negative
sekolah online bodoh miskin;negative
kasihan sekolah online;negative
kesel banget sekolah online;negative
lelah sekolah online;negative
sekolah online bikin bodoh;negative
sekolah online gin saya gapernah mandi pagi anjing;negative
sekolah online positif bodoh;negative
ngerasa aneh banget sekolah online;negative
saya muak sekolah online;negative
malas banget sekolah online;negative
sekolah online bodoh;negative
sekolah online bodoh;negative
sekolah online bego;negative
sekolah online gak setuju guru beri tugas enak ajar besok sudah ada;negative
sekolah online tolol asli;negative
sudah muak sekolah online;negative
sumpah benci banget sekolah online;negative
males sekolah online;negative
anjing sekolah online bodoh;negative
bodoh sekolah online;negative
bodoh tidak tahu maaf sekolah online;negative
capek sekolah online bodoh saya;negative
capek sekolah online ga sih jujur saya sudah capek banget materi minim masuk otak;negative
saya tidak mau sekolah online bodoh iya;negative
saya bodoh sekolah online;negative
sekolah online gapaham bodoh banget;negative
media sekolah online tidak efektif dan media muncul cluster sekolah perintah anggap serta orang lain perintah bodoh nya sih herman puter puter terus nurut tidak;negative
sekolah online pinter malah bodoh;negative
adik saya yang sekolah online saya pusing;negative
sekolah online bodoh;negative
siswa bodoh anggap sekolah daring libur;negative
online class bodoh kawan;negative
online class jadi bodoh;negative
akibat sekolah online kuota habis uang gak pintar tidak bodoh iya;negative
selama sekolah online bodoh;negative
adek saya sekolah online kesal;negative
adek sekolah online pusing;negative
adek ngadu guru sekolah online bikin stress batin;negative
adek sekolah online ribet;negative
adek sekolah online bikin gak paham materi;negative
sekolah online bikin capek prakarya;negative
asli online school jauh capek;negative
capek banget sekolah online bikin saya tertekan;negative
capek banget sekolah online;negative
capek banget sekolah online fak;negative
capek banget sekolah online gak habis habis tugas;negative
capek banget sekolah online ganggu;negative
capek banget sekolah online nikah saja;negative
capek banget sekolah online tidur ga atur ujung sakit;negative
capek sekolah online aja tidak masuk otak;negative
capek sekolah online salah terus;negative
capek sekolah online ga sih jujur saya sudah capek banget materi minim masuk;negative
capek sekolah online terus;negative
capek sekolah online guru beri tugas bingung;negative
capek sekolah online isi tugas melulu;negative
capek sekolah online sampai tidak tidur tugas terus;negative
capek sekolah online titik;negative
capek sekolah online tugas;negative
capek sekolah online capek otak tidak pikir anjing;negative
online habis kuota capek bambang lebih baik sekolah offline;negative
saya capek online school ngabisin data saja;negative
alias benci banget sekolah online;negative
inti capek sekolah online;negative
sekolah online tidak mengerti tidak paham tidak kerja karena tidak paham;negative
gaenak banget sekolah online;negative
jujur capek sekolah online;negative
jujur capek sekolah online capek maksa manusia robot;negative
online class ribet males banget saya;negative
nyerah sm online class;negative
online class tidak ada materi masuk;negative
online class bikin stress;negative
sekolah daring males sekolah;negative
adek sekolah online kakak pusing;negative
akibat sekolah daring adek gila;negative
akibat sekolah online pusing materi banyak;negative
saya pusing sekolah online;negative
sekolah online latihan soal ulangan harian semua anjing nangis banget;negative
asik perintah ga salah sekolah online yang salah tangan perintah pandemi macam seluk beluk perintah tertawa kontol emang negeri;negative
asli deh saya bosen banget sekolah daring;negative
gak tahan sekolah online stress banget sumpah;negative
saya stress sekolah online;negative
in class saja pusing apalagi online;negative
pusing banget anjing online class lebih baik saya makan seblak;negative
online class bikin kesel pusing marah;negative
tugas sekolah online pusing;negative
saya sebel pramuka online tugas sekolah saja sudah bikin pusing;negative
kuliah online bikin pusing tugas tugas kali lipat bingung;negative
sekolah online pusing;negative
sekolah online tuh pusing buka aplikasi bikin materi absen murid;negative
sekolah online orang tua pusing murid sekolah pusing;negative
sekolah online belum selesai sudah pusing pusing;negative
sekolah online bikin pusing buang buang kuota;negative
sekolah online imunitas tubuh drop;negative
sekolah online rambut rontok alias stress;negative
sekolah online bikin nilai turun ga paham materi;negative
sekolah online bikin ingin nangis setiap hari;negative
sekolah online bikin capek beneran pegal banget;negative
sekolah online bikin emosi ngajarin adik sepupu;negative
sekolah online berat kuota;negative
sekolah online bego;negative
sebentar lagi gila karena online class;negative
woi sumpah saya males ga suka online class gaboleh disrespect guru anjing maaf kalau terdenger hypocrite;negative
online class udah kesal;negative
malas besok online class pagi;negative
tugas banyak pas online class;negative
sumpah rumah daritadi org rumah berisik adek yang lagi online class pakai zoom ramai banget adekku cari perhatian kakak sedang apa gtu sih kucel ku betot;negative
berisik adek online class pakai zoom;negative
ngantuk online class;negative
ga fokus online class bangsat;negative
ampun bosan online class;negative
daring nambah bodoh bangun pagi kejar absen;negative
metode ajar daring permanen parah output sekolah siswa contek;negative
adek sekolah online kakak pusing;negative
pusing sekolah online tugas gajelas;negative
cepat selesai sekolah online nya pusing banget;negative
sekolah online pusing tidak mengerti;negative
saya sekolah online pusing nya tugas belum selesai tugas sudah kasih saja;negative
gak butuh sekolah online butuh sekolah offline saya pusing anjing pagi bangunin notif guru absen;negative
gak semangat pengen bolos sekolah online saja;negative
jujur ajar daring pusing peringkat turun tidak ada uang semangat belajar belum lagi kuota wifi guru paham cuman lihat layar pengen lagi sekolah offline;negative
sekolah online pusing;negative
udah pusing banget belajar online;negative
pindah sekolah pas sekolah online kayak pusing banget capek;negative
pusing banget kuliah sambil ngajarin sekolah online sibuk banget udah pusing sama tugas sendiri;negative
pusing banget sekolah online;negative
pusing banget sekolah online pusing ga kasih uang jajan;negative
sama stress banget sekolah online pusing;negative
ga sekolah online ga sekolah offline stress anjing;negative
iya semenjak sekolah online stress;negative
sekolah online bikin stress;negative
sekolah online gak capek tapi bikin stress;negative
sekolah online membuat saya stress;negative
serius capek banget stress banget online mata ku sakit cepat cepat sekolah normal ayo;negative
stress kamu sekolah online;negative
sumpah males sekolah online;negative
males banget sekolah online;negative
males sekolah online;negative
sumpah jujur saya capek banget online school sakit banget;negative
betul kelas online bego anjing;negative
sekolah online bego;negative
sekolah online daring murid bego;negative
sekolah online bego iya;negative
sekolah pakai sistem daring bego;negative
sudah capek online class pinter bego iya;negative
bosan sekolah online;negative
bosan sekolah online terus;negative
bosen banget sekolah online;negative
sekolah online terus bosen ga masuk otak;negative
sudah bosen online class;negative
benci sekolah online;negative
tidak kuat banget sekolah online siksa banget benci banget;negative
tidak kuat sekolah online;negative
benci online class;negative
ga kuat sekolah online;negative
muak saya sekolah online;negative
muak sekolah online materi gajelas;negative
benar banget sekolah online bikin miskin;negative
saya gak kuat sekolah online guru beri tugas ga sesuai jadwal tugas banyak;negative
benci banget dah sm school from home;negative
sekolah online saya santai banget;neutral
sekolah kuliah daring bagaimana;neutral
hidup sekolah daring;neutral
rebahan sekolah online;neutral
sekolah daring lupa makan siang;neutral
untung sekolah online;neutral
program wifi gratis siswa sekolah;neutral
benar semenjak sekolah online tidak pemasukan;neutral
saya isi pulsa beli kuota kuota uda habis besok sekolah online;neutral
amin terima kasih sekolah sekarang jarang karena online sih;neutral
besok daring sekolah;neutral
adik ku kuliah sekolah online teriak;neutral
adek ku ngerjain tugas sekolah online lagu indie;neutral
adek ku sekolah online ajar online;neutral
sekolah online yang kerjain tugas;neutral
adek saya kasi tugas online tapi sekolah setor tugas ruang guru tapi guru gak gimana cerita maksud bagaimana;neutral
adek saya sekolah online jajan ke panteslah neng anak sekolah online;neutral
adek gue ngeluh capek nyatet tugas melulu tidak bantu lah kalau engga ngadu mama;neutral
adek yang gak sekolah online saya yang dimarahin;neutral
adekku ngeluhin kaya gitu ajar ga masuk sekolah offline males malesan kalau emang masuk bimbel online nonton video ajar youtube kalau ku lihat sih emang anak saja males;neutral
adekku sekolah online ribut tugas rumah;neutral
alias gaya metode sekolah offline online hasil optimal efektif kembang system pas sekolah online segi style ajar guru style ajar murid;neutral
bangun sekolah online tunggu;neutral
adeknya sekolah online kakak pusing gitu berkumpulah tutorial asuh adek ajar;neutral
aku terlambat kerja karena adek sekolah online;neutral
anak homeschooling pas pandemi gin sekolah online ga sih;neutral
aspek lingkung politik ekonomi social culture jadi bbrp efektif ga nya sekolah online kalau untuk habis absen tidur mah urus sadar;neutral
sekolah tatap muka kena covid antivirus blom online biaya kuota print fotokopi kalah uang spp yang jual ayam jual saja hp android negeri pusing;neutral
lawak banget lagi online class guru saya dengerin lagu korea;neutral
masih online class ini;neutral
saya bingung komentar solusi didik pandemi pendek paham saya ajar daring mata hindar sebar covid sekolah resiko paksa ajar sekolah seperti;neutral
sekolah daring ngrangkum materi google;neutral
sekolah kuliah daring;neutral
w kalau jadi nadiem makarim juga bingung sih ngebolehin sekolah ttp muka atau daring nyawa didik emg jadi riskan pas pandemi;neutral
zona merah kota malang uji coba sekolah tatap muka via malang online;neutral
mau tidur sekolah online;neutral
akibat sekolah online;neutral
besok saya sekolah online tapi tidur jam segini;neutral
daring jam ngemil;neutral
emak yang ngajarin anak sekolah online;neutral
enak rebah tahu tidur ga sekolah online;neutral
gasuka sekolah online tapi gamau sekolah offline;neutral
gegara sekolah online saya jarang buka tweet;neutral
kalian libur sekolah online gak;neutral
adik ga sekolah online;neutral
admin kenapa si internet kasi adek sekolah online;neutral
sekolah online tapi ya kaga mandi;neutral
bagaimana sekolah online;neutral
beli kuota daring sekolah;neutral
beneran sekolah online pakai seragam ga sih;neutral
bingung senang ga sekolah online sedih beneran lag parah;neutral
bisa bolos sekolah online;neutral
bolos pas sekolah online tidak;neutral
capek ga sekolah online;neutral
capek sekolah online takut sekolah offline;neutral
sekolah online dibolehin ga mandi;neutral
dede sekolah online;neutral
bobok besok sekolah daring;neutral
ajar online rumah nyaman ajar tatap muka sekolah beda selamat ajar rumah ajar infeksi tanggungjawab;neutral
anak sekolah online butuh hp butuh wifi pusat daerah mesti perhati wifi gratis angaran kan resap anggar belanja subsidi silang wifi gratis;neutral
antar sekolah new normal dateng hanya ngaji sebentar terus pulang lagi ajar tetap online;neutral
bagaimana ini sekolah online nya semangat;neutral
bagaimana sekolah online nya lancar ga;neutral
bagaimana tanggap work from home sekolah online moga wabah covid allah angkat aktivitas rumah lupa syukur;neutral
banyaak yang ngeluh sekolah online yang ngeluh sekolah offline pemerintah pusing;neutral
belom mas sekolah online sampai desember;neutral
benar juga balik murid mau serius sekolah tidak kalau dari anaknya tidak serius mau online atau offline;neutral
berkat sekolah online bolpoin saya tidak hilang belajar dari rumah;neutral
coba tuang curhatanmu sekolah online;neutral
daya sekolah online masuk;neutral
dilema sekolah buka yang positif sekolah online akses onlinenya batas;neutral
bagaimana sekolah online nya lancar;neutral
belum diajarin materi terus langsung kuis allah derita sekolah online;neutral
benar banget internet butuh serba online khusus anak sekolah butuh akses internet ajar daring;neutral
bener gapaham sekolah online;neutral
besok sekolah online;neutral
bolos sekolah online;neutral
efek sekolah online ini lupa;neutral
ga sekolah online kalau kayak gini;neutral
gara gara capek sekolah online;neutral
sekolah online lomba;neutral
harap maklum sekolah ajar baca lulus online;neutral
sekolah online lebih baik bobo;neutral
iya sudah bikin tugas sekolah online;neutral
jangan begadang besok sekolah online;neutral
kalau daring bolos sekolah;neutral
kayak bom sekolah daring besok udah senen saja;neutral
kontrol guru dan sekolah bagaimana siswa ajar;neutral
lagi sekolah online;neutral
loh ga sekolah online;neutral
loh sekolah online;neutral
ootd sekolah online be like;neutral
saya setuju sekolah online gak setuju guru memberikan tugas enak ajar besok sudah ada;neutral
saya udah sekolah online belum kasi tugas suruh paham materi suruh absen tidak;neutral
masih sekolah online;neutral
sekolah offline online saja pas offline sudah ajar guru saja nuntut offline males;neutral
sekolah online ngantuk;neutral
sekolah online bikin video tugas les;neutral
sekolah online jam istirahat mandi;neutral
sekolah online kamu apa kabar;neutral
sekolah online kaya libur sekolah;neutral
sekolah online offline saja;neutral
sekolah online semangat capek banget;neutral
sekolah online tidur cepat rajin begadang;neutral
sekolah online sistem gimana;neutral
sekolah tatap muka daring;neutral
sekolah surabaya kakak belajar daring;neutral
selamat pagi kebelet buang air besar sudah masuk jam sekolah online;neutral
serius bertanya sekolah saya doang yang ngadain lomba online;neutral
serius tanya sekolah kuliah daring bagaimana saya gak ngerasain;neutral
sibuk banget sekolah online tugas tumpuk;neutral
siklus sekolah online bangun tugas tugas tugas tidur;neutral
sekarang sekolah online;neutral
solusi sekolah online;neutral
sudah muak sekolah online sekolah offline gamau;neutral
sudah selesai sekolah daring ini;neutral
sumpah penasaran banget bagaimana sekolah online;neutral
syukur sekolah daring males tatap muka wali kelas;neutral
tawur engga online sekolah online;neutral
tips gak males sekolah;neutral
tidur tidur besok sekolah online;neutral
ajar online salah ajar sekolah salah manusia salah;neutral
ampun sekolah online gini iya untung udah kuliah;neutral
bagaimana sekolah online nya adik;neutral
bangun pagi absen sekolah daring;neutral
besok sekolah online libur;neutral
bocah sekolah ajar online tugas suka ngada ngada;neutral
bolos sekolah online;neutral
capek sekolah online tugas kalau sekolah tatap muka nanti suruh ngumpulin tugas;neutral
dilema sekolah buka yang positif sekolah online akses onlinenya batas;neutral
dilema sekolah daring tidak listrik internet perangkat tatap muka langsung tidak taat protokol sudah tatap muka bagaimana pulang kumpul warung kopi rokok bareng;neutral
gara gara sekolah online gini pikir homeschooling jujur kalau ketemu orang bawa capek banget;neutral
gara gara sekolah online guru memberikan tugas jam malam;neutral
gimana besok anak sekolah online;neutral
kena sekolah offline saja online;neutral
kerja online sekolah online pacar online nonton konser online;neutral
sekolah online masi saja eskul;neutral
mau sekolah online dulu;neutral
memang sekolah ku aneh banget fustal online;neutral
nilai pas sekolah nilai pas sekolah online;neutral
santai tugas sekolah online;neutral
kabur class online;neutral
saya kalau online class jarang pakai seragam;neutral
saya lihat murid cari perhatian online class;neutral
selamat pagi online class;neutral
saya online class penuh;neutral
ngantuk banget online class;neutral
kalian online class nya jam berapa sih;neutral
online class dulu byebye;neutral
ready online class;neutral
iya inget online class;neutral
sekolah online lebih baik bobo;neutral
halo tukang ga sekolah online;neutral
gak berani buka wa sekolah online;neutral
ga sekolah online pas buka hp langsung dapat spam tugas materi;neutral
ga sekolah online;neutral
ga bayang sekolah online pakai provider;neutral
deh bobo besok biar ga ngantuk pas sekolah online;neutral
drama sekolah online jadwal belum on;neutral
diterapin sekolah online mati listrik pagi;neutral
drama pagi nemenin ponaan kelas sd sekolah online nemenin redaksi ngajarin ngarahin ngerjain tugas aselik drama banget doang;neutral
definisi tugas sekolah online selesai tumbuh ribu;neutral
eh tapi sekolah adekku online enak banget guru rumah ngajar kelompok gtu tetep sesuai protokol sehat mahasiswa daring dosen gak jelasin hanya memberikan ppt doang kalau chat tidak pernah balas online;neutral
bismillah plis saja kakak paket sekolah online;neutral
bertanya sekolah online sarapan jam berapa;neutral
bangun tidur mandi sekolah online solat tidur;neutral
engga daring engga offline tetep ketiduran;neutral
akibat kalau sekolah online pasti buka youtube terus streaming;neutral
adik sekolah online nongkrong;neutral
adeknya yang sekolah online kakak yang kerja;neutral
besok mas sekolah online brarti tidur cepat;neutral
guru bingung gmn biar siswa tetep pintar dlm kondisi sekolah online dijelasin zoom ntr siswa ngeluh kuota ga absen trus tinggal tidur tahu siswa bljar bagaimana kasi tugas eh nanti suruh orng yang kerjain;neutral
habis ini sekolah online;neutral
habis sekolah online;neutral
bertanya sekolah online coba sebutin kendala kritik minggu ngajar ajar murid murid ku bantu ya terima kasih;neutral
berat sekolah daring materi memberikan tugas koreksi kelas guru situasi yang sulit langkah yang ambil risiko paham;neutral
benar sekolah online otak offline;neutral
sekolah online bikin stres sekolah offline nolep;neutral
sekolah online brainly google teman ku;neutral
sekolah online ga ini;neutral
sekolah online henti;neutral
sekolah online internet mati pulau;neutral
sekolah online mimpi saja;neutral
sekolah online paham saja paham tidak paham;neutral
sekolah online pakai baju tidur akumah;neutral
sekolah online serasa robot;neutral
sekolah online selesai jam berapa;neutral
sekolah online cuman tugas kadang guru yang jelasin gak jadi belajar;neutral
sekolah online spp tetep mbayar sih;neutral
sekolah online tidak apa-apa tapi ukt turun;neutral
sepakat ajar daring beda fasilitas daerah;neutral
serius tanya sekolah kuliah daring bagaimana saya gak ngerasain;neutral
sudah selesai sekolah online nya;neutral
ini lagi nemenin sekolah online;neutral
bangun langsung absen;neutral
sekolah daring materi ajar ga jelasin tugas;neutral
sekolah online guru suka hati memberikan tugas;neutral
sekolah online ngejar nilai ngejar ilmu;neutral
selama school from home kalo ulangan open book;neutral
school from home jadi lupa baca buku;neutral
